gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22400367,2024-12-19 21:30,Minnesota,Timberwolves,1610612750,New York,Knicks,1610612752,107,133,1610612752,Regular Season,18978,61,,,0
22400369,2024-12-19 21:00,Phoenix,Suns,1610612756,Indiana,Pacers,1610612754,111,120,1610612754,Regular Season,17071,1000051,,,0
22400368,2024-12-19 20:30,Dallas,Mavericks,1610612742,Los Angeles,Clippers,1610612746,95,118,1610612746,Regular Season,20044,193,,,0
22400365,2024-12-19 20:00,Houston,Rockets,1610612745,New Orleans,Pelicans,1610612740,133,113,1610612745,Regular Season,18055,215,,,0
22400366,2024-12-19 20:00,Memphis,Grizzlies,1610612763,Golden State,Warriors,1610612744,144,93,1610612763,Regular Season,17729,242,,,0
22400370,2024-12-19 20:00,San Antonio,Spurs,1610612759,Atlanta,Hawks,1610612737,133,126,1610612759,Regular Season,17852,1000118,,,0
22400363,2024-12-19 19:30,Boston,Celtics,1610612738,Chicago,Bulls,1610612741,108,117,1610612741,Regular Season,19156,17,,,0
22400364,2024-12-19 19:30,Toronto,Raptors,1610612761,Brooklyn,Nets,1610612751,94,101,1610612751,Regular Season,19214,643,,,0
22400360,2024-12-19 19:00,Detroit,Pistons,1610612765,Utah,Jazz,1610612762,119,126,1610612762,Regular Season,18022,624,,,0
22400361,2024-12-19 19:00,Orlando,Magic,1610612753,Oklahoma City,Thunder,1610612760,99,105,1610612760,Regular Season,18896,1000125,,,0
22400362,2024-12-19 19:00,Washington,Wizards,1610612764,Charlotte,Hornets,1610612766,123,114,1610612764,Regular Season,15256,77,,,0
62400001,2024-12-17 20:30,Oklahoma City,Thunder,1610612760,Milwaukee,Bucks,1610612749,81,97,1610612749,Regular Season,18519,606,Emirates NBA Cup,Championship,0
22401226,2024-12-16 22:30,Los Angeles,Clippers,1610612746,Utah,Jazz,1610612762,144,107,1610612746,Regular Season,14651,1000137,,,0
22401225,2024-12-16 22:00,Sacramento,Kings,1610612758,Denver,Nuggets,1610612743,129,130,1610612743,Regular Season,16936,609,,,0
